packet_count,byte_count,duration,avg_packet_size,mean_iat,var_iat,dst_ip,label
38,1569,1.44,45,0.038919,0.008183,192.168.1.17,0
25,3341,2.43,79,0.10125,0.009621,192.168.1.21,0
42,1917,4.63,89,0.112927,0.005193,192.168.1.9,0
45,3354,3.49,148,0.079318,0.006645,192.168.1.32,0
47,3249,2.26,51,0.04913,0.008644,192.168.1.13,0
11,2811,2.45,41,0.245,0.004046,192.168.1.12,0
44,1345,1.52,41,0.035349,0.008688,192.168.1.42,0
448,1271,0.45,44,0.004653,4.1e-05,192.168.1.147,1
37,3951,1.05,146,0.029167,0.004393,192.168.1.2,0
33,4101,1.25,43,0.039062,0.000476,192.168.1.10,0
26,4558,4.11,109,0.1644,0.000686,192.168.1.8,0
20,1363,2.6,66,0.136842,0.008724,192.168.1.41,0
354,16241337,27.21,1144,0.363728,0.12442,10.0.0.5,1
25,1525,1.68,97,0.07,0.007184,192.168.1.29,0
25,738,3.84,90,0.16,0.002199,192.168.1.18,0
43,952,4.36,57,0.10381,0.004259,192.168.1.9,0
28,1838,1.42,140,0.052593,0.007328,192.168.1.40,0
16,2667,2.29,89,0.152667,0.001567,192.168.1.3,0
45,2100,0.71,119,0.016136,0.008836,192.168.1.18,0
17,2232,2.24,146,0.14,0.001592,192.168.1.2,0
28,2529,3.51,110,0.13,0.000439,192.168.1.6,0
19,3735,3.25,69,0.180556,0.009708,192.168.1.46,0
23,3215,1.05,128,0.047727,0.006925,192.168.1.47,0
25,1261,1.74,105,0.0725,0.008729,192.168.1.30,0
26,3610,2.35,122,0.094,0.008392,192.168.1.49,0
11,759,2.49,121,0.249,0.007901,192.168.1.14,0
19,1419,2.9,58,0.161111,0.006699,192.168.1.20,0
29,4628,3.88,58,0.138571,0.006799,192.168.1.45,0
7,1173,2.23,144,0.371667,0.004855,192.168.1.18,0
47,2850,3.7,129,0.080435,0.003546,192.168.1.13,0
11,999,0.66,138,0.066,0.002088,192.168.1.34,0
13,1532,0.64,79,0.053333,0.003518,192.168.1.36,0
38,3611,1.93,78,0.052162,0.001589,192.168.1.9,0
39,4946,1.25,145,0.032895,0.000165,192.168.1.20,0
34,4233,3.7,83,0.112121,0.00082,192.168.1.24,0
44,533,3.05,104,0.07093,0.000923,192.168.1.11,0
21,4359,4.11,140,0.2055,0.000842,192.168.1.4,0
35,913,2.65,99,0.077941,0.004928,192.168.1.5,0
26,1647,2.59,90,0.1036,0.003952,192.168.1.6,0
27,4211,3.87,146,0.148846,0.006735,192.168.1.12,0
243,18430270,20.13,1019,0.230856,0.509113,10.0.0.4,1
8,3828,1.81,75,0.258571,0.009378,192.168.1.14,0
34,2288,0.87,85,0.026364,0.008804,192.168.1.6,0
29,1018,3.43,43,0.1225,0.009333,192.168.1.2,0
33,4298,4.4,131,0.1375,0.006629,192.168.1.18,0
35,4694,3.83,76,0.112647,0.002892,192.168.1.9,0
7,2320,2.6,67,0.433333,0.005617,192.168.1.21,0
44,4718,1.59,140,0.036977,0.008209,192.168.1.43,0
32,2905,4.6,95,0.148387,0.004714,192.168.1.46,0
9,883,1.25,102,0.15625,0.001688,192.168.1.49,0
33,3724,3.94,150,0.123125,0.003635,192.168.1.40,0
47,641,0.49,75,0.010652,0.004192,192.168.1.48,0
8,307,4.54,47,0.648571,0.000273,192.168.1.50,0
37,3538,3.6,110,0.1,0.000228,192.168.1.45,0
11,4957,0.3,104,0.03,0.00647,192.168.1.9,0
27,3665,0.45,59,0.017308,0.005694,192.168.1.36,0
35,1863,1.82,67,0.053529,0.000175,192.168.1.36,0
5,4517,4.92,62,1.23,0.001109,192.168.1.38,0
7,2549,1.33,70,0.221667,0.005399,192.168.1.50,0
28,4580,3.49,93,0.129259,0.000634,192.168.1.6,0
26,413,0.76,119,0.0304,0.005422,192.168.1.42,0
10,4930,1.16,114,0.128889,0.001127,192.168.1.31,0
47,480,1.87,67,0.040652,0.004317,192.168.1.43,0
41,314,3.69,122,0.09225,0.003224,192.168.1.30,0
490,8407,0.89,47,0.000422,1e-05,192.168.1.227,1
13262,612825,1.65,147,0.000432,2e-06,192.168.1.100,1
39,1026,4.26,90,0.112105,0.002202,192.168.1.31,0
46,2028,3.54,79,0.078667,0.004964,192.168.1.25,0
45,3999,0.61,111,0.013864,0.008603,192.168.1.29,0
44,2391,0.68,143,0.015814,0.009808,192.168.1.10,0
18,1997,4.12,132,0.242353,0.000373,192.168.1.18,0
19,2069,2.7,124,0.15,0.000242,192.168.1.41,0
15,2525,4.44,109,0.317143,0.00206,192.168.1.32,0
33,4877,2.0,132,0.0625,0.003374,192.168.1.35,0
35,3795,4.04,101,0.118824,0.001747,192.168.1.46,0
38,2115,0.66,71,0.017838,0.003213,192.168.1.5,0
39,1142,2.2,40,0.057895,0.000224,192.168.1.27,0
49,1800,4.45,47,0.092708,0.006914,192.168.1.6,0
11,1127,2.97,139,0.297,0.004151,192.168.1.19,0
37,380,3.53,132,0.098056,0.007595,192.168.1.50,0
45,2325,2.19,78,0.049773,0.002725,192.168.1.47,0
46,3662,3.03,141,0.067333,0.006347,192.168.1.18,0
36,618,1.2,144,0.034286,0.004069,192.168.1.37,0
45,2533,3.76,91,0.085455,0.007384,192.168.1.25,0
47,1274,4.95,48,0.107609,0.006901,192.168.1.27,0
43,4321,2.76,41,0.065714,0.002496,192.168.1.37,0
38,1407,3.79,142,0.102432,0.008014,192.168.1.48,0
38,4261,3.35,137,0.090541,0.001451,192.168.1.21,0
394,3742,0.99,45,0.004884,4.7e-05,192.168.1.68,1
33,421,2.09,103,0.065312,0.009393,192.168.1.39,0
11,1618,0.54,129,0.054,0.000796,192.168.1.33,0
40,489,3.9,138,0.1,0.008044,192.168.1.16,0
24,4749,1.59,40,0.06913,0.003903,192.168.1.45,0
33,2164,3.16,50,0.09875,0.007456,192.168.1.11,0
6,2767,3.44,109,0.688,0.009098,192.168.1.40,0
26,1831,1.07,55,0.0428,0.008988,192.168.1.49,0
44,350,2.49,54,0.057907,0.008493,192.168.1.3,0
22,2025,1.65,57,0.078571,0.002991,192.168.1.23,0
20,889,0.27,78,0.014211,0.008699,192.168.1.50,0
38,313,3.1,63,0.083784,0.003248,192.168.1.41,0
36,4932,4.69,75,0.134,0.008471,192.168.1.32,0
18,3976,2.14,145,0.125882,0.004162,192.168.1.9,0
149,2447,0.88,40,0.003935,5.6e-05,192.168.1.55,1
6,4359,3.35,49,0.67,0.001155,192.168.1.45,0
19,1300,3.78,136,0.21,0.001189,192.168.1.2,0
7,3565,3.63,101,0.605,0.005835,192.168.1.9,0
23,313,4.01,75,0.182273,0.000761,192.168.1.49,0
41,886,1.5,56,0.0375,0.009057,192.168.1.16,0
45,1809,4.67,122,0.106136,0.005582,192.168.1.19,0
27,3681,0.78,82,0.03,0.002788,192.168.1.17,0
16247,860463,1.28,138,0.000392,6e-06,192.168.1.100,1
30,3102,1.77,79,0.061034,0.001931,192.168.1.13,0
29,529,1.43,141,0.051071,0.002534,192.168.1.30,0
11,4717,3.23,150,0.323,0.007049,192.168.1.8,0
38,563,4.6,127,0.124324,0.009714,192.168.1.14,0
8,705,0.19,71,0.027143,0.005082,192.168.1.32,0
37,3334,4.35,43,0.120833,0.00929,192.168.1.25,0
446,3341,0.18,60,0.000299,3e-06,192.168.1.15,1
42,4141,1.48,65,0.036098,0.004609,192.168.1.10,0
48,4265,4.45,71,0.094681,0.000188,192.168.1.16,0
38,3231,4.39,91,0.118649,0.008769,192.168.1.30,0
49,2119,2.05,129,0.042708,0.006761,192.168.1.47,0
17,4064,0.92,83,0.0575,0.004329,192.168.1.48,0
7,4472,3.28,101,0.546667,0.008688,192.168.1.50,0
21,4975,1.09,87,0.0545,0.008456,192.168.1.19,0
18,3615,3.91,150,0.23,0.005228,192.168.1.22,0
27,2375,2.66,74,0.102308,0.000449,192.168.1.50,0
5,391,1.94,150,0.485,0.009188,192.168.1.33,0
8,2673,3.58,58,0.511429,0.009613,192.168.1.16,0
36,4745,2.57,90,0.073429,0.000725,192.168.1.34,0
7,3310,4.16,61,0.693333,0.009223,192.168.1.6,0
21,1224,3.46,53,0.173,0.006129,192.168.1.40,0
22,3468,4.75,74,0.22619,0.000996,192.168.1.50,0
27,3837,2.88,120,0.110769,0.000783,192.168.1.44,0
12,1094,4.77,99,0.433636,0.002492,192.168.1.14,0
8,3057,2.77,112,0.395714,0.009628,192.168.1.6,0
5,1957,2.03,148,0.5075,0.009114,192.168.1.3,0
293,5763474,24.53,1241,0.442416,0.606368,10.0.0.2,1
282,4461,0.98,61,0.002479,7.9e-05,192.168.1.92,1
14,1674,4.19,132,0.322308,0.003202,192.168.1.18,0
380,18329714,41.06,1012,0.390064,0.519818,10.0.0.4,1
43,401,2.11,130,0.050238,0.006503,192.168.1.41,0
25,2818,3.83,91,0.159583,0.005605,192.168.1.17,0
25,4729,0.38,111,0.015833,0.005265,192.168.1.38,0
15,1255,4.74,128,0.338571,0.008649,192.168.1.45,0
19,4753,0.95,106,0.052778,0.007686,192.168.1.10,0
36,4369,2.02,105,0.057714,0.008963,192.168.1.48,0
38,4527,0.27,64,0.007297,0.006567,192.168.1.22,0
8,2102,3.24,102,0.462857,0.006303,192.168.1.21,0
37,1310,2.19,139,0.060833,0.008368,192.168.1.33,0
18,1915,1.47,95,0.086471,0.001276,192.168.1.15,0
37,1829,0.1,52,0.002778,0.008981,192.168.1.4,0
15,1657,1.8,113,0.128571,0.002892,192.168.1.48,0
5,2623,0.6,98,0.15,0.005348,192.168.1.46,0
16,4391,5.0,69,0.333333,0.002304,192.168.1.27,0
36,1477,3.37,107,0.096286,0.00704,192.168.1.49,0
15040,1323495,0.74,113,0.000108,8e-06,192.168.1.100,1
42,2497,2.54,43,0.061951,0.000179,192.168.1.34,0
14,1030,4.67,113,0.359231,0.002152,192.168.1.28,0
37,1035,1.87,54,0.051944,0.007471,192.168.1.26,0
11,812,4.1,116,0.41,0.00641,192.168.1.49,0
18,1080,2.62,62,0.154118,0.002168,192.168.1.31,0
41,2123,2.21,64,0.05525,0.003707,192.168.1.2,0
29,1760,0.51,111,0.018214,0.001524,192.168.1.15,0
44,502,0.15,107,0.003488,0.008454,192.168.1.32,0
20,4507,1.52,94,0.08,0.007485,192.168.1.3,0
47,3477,1.56,97,0.033913,0.009067,192.168.1.7,0
26,1124,3.51,46,0.1404,0.004031,192.168.1.44,0
34,1402,2.71,64,0.082121,0.003504,192.168.1.22,0
7,2704,4.28,49,0.713333,0.008603,192.168.1.2,0
28,4085,3.74,111,0.138519,0.00308,192.168.1.30,0
14,3353,2.23,127,0.171538,0.007445,192.168.1.45,0
18,4112,3.1,56,0.182353,0.002358,192.168.1.2,0
24,4796,0.62,55,0.026957,0.006846,192.168.1.48,0
26,4187,3.64,122,0.1456,0.007826,192.168.1.32,0
21,1888,3.94,69,0.197,0.002926,192.168.1.25,0
43,4276,2.36,144,0.05619,0.004673,192.168.1.48,0
17,1080,4.04,150,0.2525,0.004461,192.168.1.26,0
41,1425,2.52,45,0.063,0.009317,192.168.1.23,0
14,3946,3.63,126,0.279231,0.001882,192.168.1.43,0
25,892,3.38,82,0.140833,0.004281,192.168.1.6,0
30,2696,4.32,146,0.148966,0.002333,192.168.1.19,0
18,2014,3.62,142,0.212941,0.000644,192.168.1.10,0
42,3103,3.07,74,0.074878,0.006906,192.168.1.4,0
25,4759,1.0,102,0.041667,0.007411,192.168.1.29,0
11,3188,2.71,84,0.271,0.005622,192.168.1.50,0
43,3143,1.6,58,0.038095,0.002327,192.168.1.22,0
13,1041,4.22,121,0.351667,0.007314,192.168.1.8,0
9,2248,2.83,98,0.35375,0.008679,192.168.1.8,0
23,963,4.57,122,0.207727,0.00164,192.168.1.32,0
7,2804,2.99,50,0.498333,0.004054,192.168.1.24,0
6,2263,3.42,116,0.684,0.008825,192.168.1.29,0
8,1955,2.02,66,0.288571,0.000364,192.168.1.35,0
33,2353,0.18,111,0.005625,0.005761,192.168.1.27,0
46,712,0.62,93,0.013778,0.00954,192.168.1.47,0
9,4545,4.08,83,0.51,0.002555,192.168.1.46,0
48,3215,2.28,50,0.048511,0.00896,192.168.1.30,0
31,3362,0.58,123,0.019333,0.0052,192.168.1.32,0
13,943,1.55,52,0.129167,0.006265,192.168.1.50,0
12,2616,1.86,97,0.169091,0.006588,192.168.1.12,0
21,1697,1.17,118,0.0585,0.006815,192.168.1.23,0
31,4629,1.12,122,0.037333,0.001725,192.168.1.21,0
31,4455,0.5,136,0.016667,0.001453,192.168.1.30,0
49,1056,4.69,97,0.097708,0.00522,192.168.1.16,0
14350,1050958,1.53,132,0.000354,5e-06,192.168.1.100,1
16,1033,4.62,118,0.308,0.003493,192.168.1.3,0
17,2990,2.9,118,0.18125,0.00664,192.168.1.47,0
13,869,4.99,117,0.415833,0.003141,192.168.1.6,0
43,2059,4.18,54,0.099524,0.000768,192.168.1.20,0
15,4125,3.92,49,0.28,0.004689,192.168.1.49,0
30,4876,3.21,120,0.11069,0.001329,192.168.1.33,0
33,501,0.15,77,0.004687,0.000737,192.168.1.46,0
25,3623,0.88,75,0.036667,0.005549,192.168.1.21,0
8,2898,0.86,66,0.122857,0.009189,192.168.1.10,0
23,1030,1.3,81,0.059091,0.007578,192.168.1.30,0
23,2328,4.71,138,0.214091,0.00168,192.168.1.34,0
34,621,2.0,64,0.060606,0.003287,192.168.1.26,0
34,2568,3.4,100,0.10303,0.006849,192.168.1.19,0
50,1284,4.3,90,0.087755,0.004273,192.168.1.37,0
11,4731,4.61,75,0.461,0.007743,192.168.1.44,0
32,3804,3.08,104,0.099355,0.007022,192.168.1.30,0
13,336,4.47,111,0.3725,0.001497,192.168.1.40,0
17,2626,3.78,130,0.23625,0.005547,192.168.1.16,0
30,3348,2.53,119,0.087241,0.006903,192.168.1.22,0
11,2445,2.5,91,0.25,0.003088,192.168.1.20,0
21,1408,2.53,100,0.1265,0.001169,192.168.1.2,0
44,2220,1.13,80,0.026279,0.001083,192.168.1.23,0
33,4548,3.09,115,0.096562,0.004876,192.168.1.38,0
28,3658,4.76,131,0.176296,0.001764,192.168.1.44,0
18,1225,1.69,100,0.099412,0.005596,192.168.1.26,0
36,2479,3.6,95,0.102857,0.002453,192.168.1.24,0
46,956,1.51,65,0.033556,0.001159,192.168.1.36,0
30,912,0.59,82,0.020345,0.000501,192.168.1.38,0
11,3528,0.69,128,0.069,0.008616,192.168.1.22,0
38,2021,1.5,41,0.040541,0.001399,192.168.1.37,0
14,1842,1.19,67,0.091538,0.008285,192.168.1.32,0
46,3680,2.43,72,0.054,0.000985,192.168.1.18,0
32,4649,1.39,41,0.044839,0.003117,192.168.1.12,0
8,3388,0.11,46,0.015714,0.002538,192.168.1.43,0
33,4758,3.15,99,0.098437,0.003063,192.168.1.14,0
7,3503,2.08,56,0.346667,0.001697,192.168.1.30,0
12,2534,0.26,82,0.023636,0.007356,192.168.1.49,0
50,2281,1.27,97,0.025918,0.001185,192.168.1.23,0
34,4974,0.32,113,0.009697,0.005562,192.168.1.28,0
30,1704,3.98,70,0.137241,0.008288,192.168.1.32,0
22,4610,4.9,114,0.233333,0.001049,192.168.1.28,0
35,4487,1.36,118,0.04,0.001875,192.168.1.18,0
37,3925,2.23,56,0.061944,0.001444,192.168.1.26,0
16,1691,1.37,86,0.091333,0.004897,192.168.1.31,0
34,2613,0.35,137,0.010606,0.006548,192.168.1.31,0
37,2504,0.47,77,0.013056,0.001117,192.168.1.21,0
21,3307,1.89,100,0.0945,0.00405,192.168.1.9,0
26,2013,1.36,66,0.0544,0.000255,192.168.1.12,0
27,1750,2.42,139,0.093077,0.001333,192.168.1.22,0
26,2524,0.99,143,0.0396,0.001109,192.168.1.36,0
28,1763,3.1,95,0.114815,0.006509,192.168.1.40,0
14289,1699346,1.23,182,0.000211,9e-06,192.168.1.100,1
34,800,0.14,84,0.004242,0.003877,192.168.1.22,0
39,1385,3.1,72,0.081579,0.003226,192.168.1.31,0
50,2188,4.7,88,0.095918,0.008805,192.168.1.31,0
26,3094,2.6,116,0.104,0.007644,192.168.1.46,0
19,1772,2.55,121,0.141667,0.002294,192.168.1.49,0
46,2394,1.95,140,0.043333,0.004884,192.168.1.6,0
47,935,4.73,136,0.102826,0.008753,192.168.1.37,0
22,435,3.37,137,0.160476,0.009265,192.168.1.47,0
27,2076,0.17,117,0.006538,0.004596,192.168.1.19,0
33,3825,0.25,126,0.007812,0.006674,192.168.1.22,0
40,528,1.15,125,0.029487,0.009454,192.168.1.38,0
18,2961,1.77,92,0.104118,0.004269,192.168.1.15,0
50,1603,0.28,120,0.005714,0.002894,192.168.1.25,0
8,1583,4.94,68,0.705714,0.006594,192.168.1.26,0
14,1734,4.47,73,0.343846,0.009524,192.168.1.12,0
22,2083,4.12,74,0.19619,0.000298,192.168.1.32,0
33,700,4.4,118,0.1375,0.002592,192.168.1.32,0
31,2000,3.27,92,0.109,0.007167,192.168.1.17,0
17,4244,4.91,136,0.306875,0.000957,192.168.1.50,0
19,4368,4.65,70,0.258333,0.002385,192.168.1.16,0
5,1378,4.0,102,1.0,0.004108,192.168.1.32,0
41,3897,4.42,61,0.1105,0.005533,192.168.1.6,0
7,3188,3.0,102,0.5,0.00083,192.168.1.32,0
5,3766,2.01,78,0.5025,0.004664,192.168.1.18,0
40,1351,2.66,74,0.068205,0.00656,192.168.1.7,0
24,1338,0.2,101,0.008696,0.008501,192.168.1.50,0
33,2975,3.06,104,0.095625,0.004271,192.168.1.23,0
46,4708,3.57,132,0.079333,0.000966,192.168.1.40,0
9,1219,3.94,138,0.4925,0.004769,192.168.1.39,0
117,7122,0.93,53,0.004082,7.2e-05,192.168.1.99,1
8,684,3.4,72,0.485714,0.009017,192.168.1.36,0
10,3181,3.63,121,0.403333,0.00884,192.168.1.38,0
22,4470,4.81,46,0.229048,0.003071,192.168.1.4,0
29,646,4.5,49,0.160714,0.000952,192.168.1.45,0
44,1026,4.56,77,0.106047,0.0023,192.168.1.9,0
38,505,2.53,136,0.068378,0.001722,192.168.1.30,0
39,4984,4.66,144,0.122632,0.008765,192.168.1.36,0
15541,1572913,1.43,144,0.00033,4e-06,192.168.1.100,1
40,3322,3.71,90,0.095128,0.005172,192.168.1.33,0
33,2629,0.95,132,0.029687,0.000675,192.168.1.7,0
6,2435,0.44,84,0.088,0.008956,192.168.1.10,0
29,3331,3.15,60,0.1125,0.003033,192.168.1.17,0
18,4863,2.5,69,0.147059,0.006299,192.168.1.38,0
15,1115,3.14,85,0.224286,0.005012,192.168.1.39,0
18,1708,2.83,79,0.166471,0.006167,192.168.1.43,0
11,1601,2.27,59,0.227,0.003152,192.168.1.37,0
21,4301,4.64,56,0.232,0.006701,192.168.1.8,0
34,1773,1.8,40,0.054545,0.004587,192.168.1.24,0
20,3786,3.0,142,0.157895,0.00848,192.168.1.21,0
43,3560,2.19,85,0.052143,0.005311,192.168.1.28,0
17,701,2.19,89,0.136875,0.003596,192.168.1.44,0
13,4610,2.37,146,0.1975,0.009143,192.168.1.5,0
33,4712,3.79,140,0.118438,0.006122,192.168.1.16,0
6,3377,3.88,113,0.776,0.001455,192.168.1.46,0
42,3946,2.36,145,0.057561,0.008291,192.168.1.31,0
30,3000,2.29,126,0.078966,0.002943,192.168.1.15,0
5,2185,4.31,90,1.0775,0.00938,192.168.1.50,0
6,4664,0.43,43,0.086,0.00451,192.168.1.21,0
12,534,0.87,142,0.079091,0.001038,192.168.1.13,0
16099,912380,1.98,131,0.000311,8e-06,192.168.1.100,1
6,2962,3.07,86,0.614,0.004129,192.168.1.9,0
12,3806,1.71,111,0.155455,0.004145,192.168.1.14,0
50,4328,3.18,106,0.064898,0.009891,192.168.1.31,0
23,2206,1.22,134,0.055455,0.000255,192.168.1.40,0
29,3971,3.69,131,0.131786,0.005237,192.168.1.24,0
33,2123,2.97,62,0.092813,0.001976,192.168.1.16,0
32,4101,2.75,113,0.08871,0.002077,192.168.1.47,0
43,4934,4.79,112,0.114048,0.006754,192.168.1.10,0
15,4650,2.97,134,0.212143,0.008646,192.168.1.35,0
25,3763,0.56,91,0.023333,0.000717,192.168.1.42,0
48,4976,1.17,81,0.024894,0.00365,192.168.1.3,0
25,2158,1.6,89,0.066667,0.004863,192.168.1.9,0
23,1537,0.24,112,0.010909,0.006623,192.168.1.20,0
22,1329,0.47,44,0.022381,0.000704,192.168.1.33,0
31,4054,3.93,67,0.131,0.004771,192.168.1.13,0
46,3309,1.43,72,0.031778,0.007023,192.168.1.21,0
44,3522,2.37,126,0.055116,0.00898,192.168.1.23,0
17,4483,2.16,94,0.135,0.001942,192.168.1.44,0
11,1255,3.74,139,0.374,0.004513,192.168.1.22,0
20,2175,3.42,76,0.18,0.000952,192.168.1.25,0
218,2555,0.67,40,0.003971,6.4e-05,192.168.1.123,1
44,4994,0.91,126,0.021163,0.004964,192.168.1.8,0
22,3235,2.36,67,0.112381,0.002762,192.168.1.8,0
18,1066,3.7,146,0.217647,0.007071,192.168.1.15,0
28,1082,1.09,93,0.04037,0.000587,192.168.1.44,0
8,2733,1.26,70,0.18,0.006205,192.168.1.26,0
22,338,3.27,90,0.155714,0.007411,192.168.1.37,0
16,998,2.83,84,0.188667,0.008481,192.168.1.15,0
32,3315,4.41,104,0.142258,0.003464,192.168.1.38,0
44,1255,4.29,64,0.099767,0.006625,192.168.1.26,0
47,3618,4.17,55,0.090652,0.001016,192.168.1.10,0
12,315,1.36,117,0.123636,0.001035,192.168.1.28,0
24,623,3.4,52,0.147826,0.00934,192.168.1.27,0
6,2484,0.65,147,0.13,0.004444,192.168.1.43,0
42,932,1.82,61,0.04439,0.000145,192.168.1.3,0
27,428,3.36,136,0.129231,0.002871,192.168.1.19,0
31,1616,1.71,42,0.057,0.009138,192.168.1.13,0
27,2428,2.79,78,0.107308,0.003879,192.168.1.19,0
41,4130,2.23,115,0.05575,0.00381,192.168.1.34,0
48,302,3.82,73,0.081277,0.005401,192.168.1.19,0
15,951,4.66,123,0.332857,0.004788,192.168.1.37,0
14,3214,4.52,120,0.347692,0.002489,192.168.1.45,0
13,4325,4.26,98,0.355,0.002058,192.168.1.41,0
36,1861,2.07,56,0.059143,0.001945,192.168.1.25,0
20,4072,3.87,63,0.203684,0.002256,192.168.1.47,0
40,4066,2.79,91,0.071538,0.008551,192.168.1.38,0
42,3242,1.61,109,0.039268,0.003385,192.168.1.16,0
45,2271,4.66,85,0.105909,0.009378,192.168.1.5,0
14013,1927597,1.57,198,4.9e-05,5e-06,192.168.1.100,1
18,4661,2.54,45,0.149412,0.005421,192.168.1.44,0
14,2945,1.79,131,0.137692,0.001085,192.168.1.40,0
22,662,2.87,97,0.136667,0.003422,192.168.1.27,0
24,542,3.41,88,0.148261,0.003479,192.168.1.37,0
